event_v_event	3'UTR.ADH1B	3'UTR.FGA	3'UTR.PPP1R12B	3'UTR.SEC14L2	3'UTR.SERPINA1	WGD	coding.ACVR2A	coding.ALB	coding.ARID1A	coding.ARID2	coding.AXIN1	coding.BRD7	coding.CTNNB1	coding.FGA	coding.HNF1A	coding.JAK1	coding.KEAP1	coding.PRDM11	coding.PTEN	coding.RB1	coding.RPS6KA3	coding.TP53	coding.TSC1	coding.TSC2	gain_17q	gain_19q	gain_1q	gain_20q	gain_22q	gain_5p	gain_6p	gain_7p	gain_7q	gain_8q	lncrna.G035338	lncrna.NEAT1	lncrna.Z95704.4	lncrna.prom.G085970	lncrna.prom.RP11-1151B14.3	lncrna.prom.Z95704.4	loss_13q	loss_16p	loss_16q	loss_17p	loss_19p	loss_4q	loss_6q	loss_8p	loss_9p	loss_9q	promoter.ALB	promoter.KCNJ12	promoter.KHNYN	promoter.TERT	promoter.ZNF595
coding.RPS6KA3	0,0,1	0,0,1	0.163910013601,0.0,1.8360899864	0.045875170377,0.0,1.95412482962	0.0264846574966,0.0,2.9735153425	0.87006634108,1.06387666604,0.0660569928777	0,0,1	0.0687239451769,0.0,1.93127605482	0,0,1	0.0,0.0,2.0	0.167689488713,0.994963090023,3.83734742126	0.0,0.0,2.0	0.0828266226134,0.0,1.91717337739	0,0,1	0.0553877631773,0.0,2.94461223682	0,0,1	0,0,1	0,0,1	0,0,1	0.076626940408,0.0,1.92337305959	na	0.992640649788,0.089775415905,2.91758393431	0,0,1	0,0,1	0.438958894132,1.14660402412,1.41443708174	1.38210569346,0.797669853631,0.820224452909	4.41427043269,2.97613787579,6.60959169152	1.0,0.942682086435,1.05731791356	0.516736139668,0.297257450817,1.18600640952	0.804187055846,1.60529470227,2.59051824189	1.79200181841,1.7432639152,2.46473426639	0.990465406908,0.538288173411,0.471246419681	0.303472827924,0.651500226511,1.04502694557	1.3219278975,1.63585215905,4.04221994345	0.0,0.045875170377,1.95412482962	0.0,0.095836515293,3.90416348471	0.0,2.99987620588,0.000123794122599	0,0,1	0.0,0.045875170377,1.95412482962	0.0,0.999999999998,1.0	1.9900990099,0.210623589334,5.79927740076	2.9801980198,1.06396109623,3.95584088396	1.9801980198,1.21511074785,7.80469123235	2.07111818396,0.166017360142,4.7628644559	0.0,0.909601021013,1.09039897899	2.07111818396,0.35591459509,10.572967221	0.990099009901,0.901698025782,2.10820296432	3.06121719386,0.194763020869,7.74401978527	1.08101917406,0.325162825059,7.59381800088	1.9900990099,0.194338611655,3.81556237844	0,0,1	0.0,3.0136196029,0.986380397102	0.0,0.0234766874194,1.97652331258	0.0,0.999999999999,1.0	0.0,1.04587516995,0.954124830054
coding.RB1	0.0,1.99433344397,2.00566655603	0.0,0.0,2.0	0.000207501409341,1.78291235125e-07,1.9997923203	2.10346764049,0.0,2.89653235951	5.32889136082e-06,0.0,1.99999467111	6.72758874627,1.97726578542,1.29514546831	0.990099009901,0.0,1.0099009901	0.0296974036187,0.99999860364,2.97030399274	0.0171061668623,0.0,2.98289383314	0.0,0.990099009901,1.0099009901	0,0,1	0.0,0.990099009901,2.0099009901	0.0,0.0,2.0	1.00236027746,0.0,1.99763972254	0.0728081301588,0.0,1.92719186984	0.0,0.0,2.0	0,0,1	0.0,0.990099009901,1.0099009901	0.0,0.0,2.0	na	0.076626940408,0.0,1.92337305959	0.284118559932,2.1042043294,16.6116771107	0.0,0.0,2.0	0.0,8.44474352331e-05,3.99991555256	4.6108189752,1.31204507233,5.07713595247	4.23695293354,1.74542753253,6.01761953393	6.10034379067,6.35276544172,12.5468907676	3.39522224602,3.88549982411,5.71927792987	4.74744603186,2.54564862936,4.70690533877	1.96401363918,3.52986868083,8.50611767999	3.85448448174,1.50081425322,5.64470126504	2.77267132305,3.84977122119,2.37755745576	4.14087364845,4.81774980437,5.04137654718	3.13509744101,1.20378036444,5.66112219455	0.0,0.0,2.0	0.990296072685,2.01876949701,10.9909344303	0.0,1.9801980198,0.019801980198	0,0,1	0.990099009901,0.0,2.0099009901	0.0,1.9801980198,3.0198019802	2.02266364187,0.123269620688,14.8540667374	1.00037858413,0.0,5.99962141587	3.2751388894,1.12326405056,23.60159706	2.27514445608,0.123269620688,21.6015859232	1.9931976097,4.17796450498,8.82883788532	0.25594545383,1.0733766321,17.6706779141	0.281751059062,0.999861564459,8.71838737648	1.25609561783,0.0,21.7439043822	0.284654317732,2.12312561502,9.59222006725	0.0290944256659,2.2279959291,8.74290964523	0,0,1	0.0,2.98906680337,1.01093319663	0.0,0.0,2.0	0.0,1.0099009901,5.9900990099	0.0,3.00886850691,1.99113149309
coding.PTEN	0.101193318979,0.0,1.89880668102	0.0503465484288,0.000197991006614,1.94945546056	0.0,1.00495116457,0.995048835433	0,0,1	0.0,0.0,2.0	2.10996156096,1.07564055341,0.814397885633	0.0,0.0,2.0	0.0503465482768,0.000197991107896,2.94945546062	0.0,0.0,2.0	0.0816719445297,0.999999709268,1.9183283462	0.0,0.0,2.0	0.12714164326,0.0,1.87285835674	0.0,0.999999999999,1.0	0,0,1	0.0,0.0,2.0	0,0,1	0.0,0.0,3.0	0,0,1	na	0.0,0.0,2.0	0,0,1	2.07309026554,1.31286923307,6.61404050139	0.0,0.0,2.0	0.0,0.999935531296,1.0000644687	1.97094641968,0.854162274514,2.1748913058	0.40209198572,1.26305112754,2.33485688674	1.6620676251,3.43733795806,3.90059441684	0.362451326606,1.44712818353,1.19042048987	0.0,0.6254976913,2.3745023087	0.0,1.28740277002,2.71259722998	4.89429047628e-09,1.43356529629,1.56643469882	0.530478328407,3.8236721177,2.64584955389	0.500010012928,2.3660520045,2.13393798257	0.0,1.05871333313,2.94128666687	0.990099009901,0.123697195296,2.8862037948	0.990099009901,0.0,4.0099009901	0.0,1.98502433882,1.01497566118	0.0,0.0,2.0	0.990099009901,0.105313005359,0.90458798474	0,0,1	0.0932341072814,0.12714164326,4.77962424946	0.593244120209,1.11724065316,3.28951522663	1.49010902284,2.37673739666,5.1331535805	2.08333311719,0.0,6.91666688281	0.593244120209,0.986225527376,2.42053035242	2.57344214002,1.11724065316,8.30931720682	0.0932341072814,0.0,2.90676589272	2.08333311718,0.12714164326,5.78952523956	0.0932341072932,0.12714164326,5.77962424945	0.0932341072814,1.11336717064,3.79339872208	0,0,1	0,0,1	0,0,1	0.0,0.0,3.0	0.0,0.990099009901,1.0099009901
coding.PRDM11	0.0,0.0,2.0	0,0,1	0.0,0.0,2.0	1.9801980198,0.0,0.019801980198	0.990099009901,0.0,1.0099009901	0.988245086785,5.60757376295e-07,1.01175435246	0.0,0.0465513799847,1.95344862002	0.990099009901,0.990099009901,2.0198019802	0.990099009901,0.354851143676,1.65504984642	0.0234996812063,0.0,2.97650031879	0,0,1	0.0,0.297546129935,1.70245387006	0.0,6.87261602596e-07,4.99999931274	0.0,0.0,2.0	0,0,1	0.0,0.0,2.0	0,0,1	na	0,0,1	0.0,0.990099009901,1.0099009901	0,0,1	1.83101898945,3.17007776006e-06,5.16897784047	0.0,0.0,2.0	0.0,1.9801980198,1.0198019802	1.6827099426,0.454284373388,4.86300568401	2.17912597125,2.10572592298,1.71514810578	1.799144359,2.45245969707,5.74839594393	1.6699391586,2.11479724243,4.21526359897	1.70719652018,0.934881671046,2.35792180877	1.11260980248,2.39331450311,4.49407569441	1.40163559505,0.279958002339,2.31840640261	1.62787424633,2.1496088843,2.22251686937	2.78719084839,2.56899150541,3.6438176462	1.20133233674,1.26716114869,6.53150651458	0.0,0.0,2.0	0.990099009901,0.0335438606312,4.97635712947	0.0,0.990099064329,1.00990093567	0,0,1	0.0,0.0,2.0	0.0,0.0,2.0	0.990100264606,3.21036600082e-13,4.00989973539	0.990100264606,3.21036600082e-13,4.00989973539	0.990100264606,3.1700780811e-06,5.00989656532	0.990099009901,3.1700780811e-06,6.00989782002	0.990099009901,3.17007776006e-06,4.00989782002	1.25470463206e-06,3.17007776006e-06,4.99999557522	0.990099009901,0.993344209777,2.01655678032	1.25470463206e-06,3.17007776006e-06,7.99999557522	0.990100264606,3.1700780811e-06,5.00989656532	1.25470463206e-06,3.21036600082e-13,5.9999987453	1.15718325712e-06,0.0,1.99999884282	0.0,3.17007776006e-06,1.99999682992	0.0,0.00400116284845,1.99599883715	1.75207071074e-16,1.75207071074e-16,3.0	0.0,1.9801980198,0.019801980198
coding.KEAP1	0,0,1	0.0190944833731,0.476941401407,2.50396411522	0.0,0.0148521546659,1.98514784533	0,0,1	0,0,1	6.14778541049,1.46681345157,0.385401137945	0.0,0.0,2.0	1.35806068106,3.01584499337,4.62609432556	0.0,0.990099009901,1.0099009901	0.990099009901,0.999999709268,0.00990128083086	0.0,0.0136881756416,4.98631182436	0.0,0.990099009901,1.0099009901	0.27708152649,0.999999999999,5.72291847351	0.0,0.990099009901,1.0099009901	0.0,0.0,3.0	0.0,0.0,2.0	na	0,0,1	0.0,0.0,3.0	0,0,1	0,0,1	4.46253974238,1.94355668882,11.5939035688	0.990099009901,0.0,1.0099009901	1.00377632154,0.0,3.99622367846	3.5028374896,1.95845761523,2.53870489516	0.0233358340349,1.12978464983,2.84687951613	5.40071004258,7.606056647,5.99323331041	0.549053416133,3.19089472503,3.26005185883	0.483724576953,1.79710795285,1.7191674702	0.507214708645,4.09437363204,3.39841165931	2.55408573861,3.96104235251,2.48487190889	2.99149502333,1.68823246108,4.32027251559	1.65107941188,1.95771116921,5.39120941891	4.22167900285,3.09777917126,7.68054182589	1.05629409198,0.0359290372987,2.90777687072	4.9673118619,0.362346596139,6.67034154196	0.0,0.990099009901,1.0099009901	1.9801980198,0.0,1.0198019802	0,0,1	0.990099009901,3.9603960396,0.049504950495	1.01343484394,2.92119445575,3.06537070031	2.52341973118,2.89854196456,4.57803830426	4.54430786986,0.970465101815,8.48522702833	6.03439819811,0.494276872796,10.4713249291	3.51351874109,1.07164018881,8.41484107009	3.49368464515,0.953456814397,8.55285854045	0.990099009901,2.89854196456,2.11135902554	5.02096202291,0.591297013262,13.3877409638	2.00357562232,0.953456814397,10.0429675633	1.9801980198,1.94508515016,1.07471683004	0,0,1	0.990099009901,0.990099009901,3.0198019802	0.0,0.0970201404661,1.90297985953	0.0,1.08711915037,3.91288084963	0.0,3.97029592469,1.02970407531
coding.JAK1	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.61350378266,5.38649621734	0.0,0.159311236373,1.84068876363	0.0485158708493,0.0,1.95148412915	2.76234476597,0.678963288257,0.558691945769	0,0,1	1.1561515184,0.0,4.8438484816	0.990099009901,0.0,6.0099009901	0.0,0.0,2.0	0.0,0.0,2.0	0.990099009901,0.0378011917486,1.97209979835	1.09001545631,0.0,10.9099845437	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	na	0.0,0.0,2.0	0.0,0.0,2.0	0,0,1	0.0,0.0,2.0	0,0,1	0.985975810761,0.248399378748,8.76562481049	0.0,0.0,2.0	0,0,1	3.32910389963,3.00051250916,5.67038359121	2.71689079493,2.88376001069,3.39934919438	2.05831873233,6.90968861461,8.03199265306	2.80148885229,2.27868068656,4.91983046115	2.35384568627,2.787850979,2.85830333472	2.20333386397,2.69537120978,4.10129492625	1.03321152823,5.71947119157,5.24731728019	2.80519436661,3.639682369,3.5551232644	2.91412904286,4.73537620553,5.3504947516	2.92200388534,4.05622225361,12.0217738611	0.0,0.0,2.0	7.96465625238e-07,3.15625612939,11.8437430741	0.0,2.98019801979,0.0198019802061	0.0,0.0485158708493,3.95148412915	0.0,0.0,2.0	0.0,1.9801980198,0.019801980198	1.50890478974,0.0,2.49109521026	1.02790020165,0.0,1.97209979835	1.50890478974,0.318647912291,8.17244729797	1.50890478979,0.787008953676,13.7040862565	1.50890478974,0.0485158708493,2.44257933941	1.02790020165,2.76558968495,6.2065101134	1.02790020165,1.4702643162,6.50183548215	0.518805779856,0.318647912291,13.1625463079	1.02790020165,0.0,2.97209979835	1.02790020165,0.0,2.97209979835	0.0,0.0,2.0	0.0,1.26023105134,1.73976894866	0,0,1	0.00012907050966,1.9801980198,3.01967290969	0.0,1.98328831855,0.0167116814461
coding.HNF1A	0.0,0.0,3.0	0,0,1	0.305496116405,0.0148521546659,2.67965172893	0.0,0.0,2.0	0,0,1	1.39977383052,0.310315519047,0.28991065043	0,0,1	0.0,0.990099009901,3.0099009901	0,0,1	0,0,1	0.0,0.0,2.0	0.990099009901,0.0,1.0099009901	0.0,0.0,4.0	0.0,0.0605468625954,1.9394531374	na	0.0,0.0,2.0	0.0,0.0,3.0	0,0,1	0.0,0.0,2.0	0.0728081301588,0.0,1.92719186984	0.0553877631773,0.0,2.94461223682	0.0,1.9801980198,5.0198019802	0,0,1	0.0,0.990099009901,1.0099009901	0.512429070008,1.37254323121,2.11502769878	0.0,1.35707195626,1.64292804374	1.48466752277,5.60256008628,4.91277239094	1.85489517439,1.86736375471,3.2777410709	0.0934919274917,2.54970573165,1.35680234086	0.0977319681023,1.29554387964,1.60672415226	0.990099009901,1.39928668738,1.61061430272	1.35337150085,1.6129048325,1.03372366665	0.803708971004,1.66660762217,3.52968340683	1.11495068518,1.98657071894,0.898478595878	0.0,0.0,2.0	0.425819976362,0.0,5.57418002364	0.0,0.0,2.0	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	0.0,0.0,2.0	0.0730053284173,0.0,4.92699467158	0.0730053284173,0.0,1.92699467158	1.06310433832,0.0,1.93689566168	0.0730053284173,0.568259352706,3.35873531888	0.0,1.4759279693,0.524072030697	0.0730053284173,0.0,4.92699467158	0.0,0.0,2.0	1.06310433832,0.0,3.93689566168	0.0,0.0,6.0	0.0,0.907668616597,2.0923313834	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.0,2.0
coding.FGA	0.0,7.63284199908e-09,1.99999999237	0,0,1	0.0,1.02204497646,1.97795502354	0,0,1	0.0,0.247648608275,1.75235139172	6.15121867456,0.297801590317,0.550979735123	0.0,0.0,2.0	8.81034343638e-07,0.990099009901,2.00990010906	0.990099009901,0.0,3.0099009901	0.0,7.45475811463e-09,1.99999999255	0.990099009901,1.14352384981,2.86637714029	0.0,0.0,2.0	0.447214502517,2.17765423251,3.37513126497	na	0.0,0.0605468625954,1.9394531374	0.990099009901,0.0,1.0099009901	0.0,0.990099009901,1.0099009901	0.0,0.0,2.0	0,0,1	1.00236027746,0.0,1.99763972254	0,0,1	1.40471178484,0.00780528873515,9.58748292642	0,0,1	0,0,1	1.02715579143,5.01028376272,0.962560445849	1.72070484104,2.13471951129,3.14457564767	2.09825392567,3.66990423452,9.23184183981	2.09841381987,4.23220929642,4.66937688371	1.16268388074,2.1592165584,2.67809956086	1.53783615765,4.07537793805,3.3867859043	1.0879099352,2.01319312705,4.89889693775	2.32494641348,2.95273652067,4.72231706585	2.40661098899,2.78906711499,5.80432189602	2.69785883403,2.37303313784,5.92910802813	0.0,0.404429711586,2.59557028841	2.23893607773,1.05002488705,8.71103903522	0.0,0.99999999981,1.00000000019	0.0,0.0,2.0	0.0,0.0,3.0	0.0,0.990099009901,1.0099009901	0.0694330253741,0.820794921709,4.10977205292	0.069433033124,0.944613412621,5.98595355425	1.21457057627,0.742052268061,7.04337715567	3.19476859607,0.0,6.80523140393	0.212012832462,2.90461536849,1.88337179905	0.069433033124,1.76540833433,7.16515863255	1.0470735772,0.0427847908429,2.91014163195	3.03973005508,0.863579712552,8.09669023237	0.212012832462,1.93639988929,3.85158727824	1.20211184236,2.90461536849,3.89327278915	0.247648608277,0.0,2.75235139172	0.0,0.0,2.0	0.0,0.0,2.0	0.333266302375,0.475228396809,4.19150530082	0.0,1.99009900971,2.00990099029
coding.CTNNB1	1.04476393305,0.424261351913,6.53097471503	0.0,0.0,6.0	0.0,1.42480632767,5.57519367233	1.23879529245,0.0377614861988,4.72344322135	1.9801980198,0.0501923955637,6.96960958463	14.5867327809,8.77153067923,2.64173653986	0.0,0.0465513799847,1.95344862002	2.21189068571,1.78552000159,21.0025893127	2.972895477,1.09574005518,9.93136446781	0.344160577317,0.438135021424,8.21770440126	0.0,0.0,3.0	1.9801980198,0.0,0.019801980198	na	0.447214502517,2.17765423251,3.37513126497	0.0,0.0,4.0	1.09001545631,0.0,10.9099845437	0.27708152649,0.999999999999,5.72291847351	0.0,6.87261602596e-07,4.99999931274	0.0,0.999999999999,1.0	0.0,0.0,2.0	0.0828266226134,0.0,1.91717337739	11.2742413467,2.39975759468,28.3260010586	0.97562731854,0.03115756056,2.9932151209	0.0,1.9801980198,0.019801980198	7.74798391859,14.0837012396,21.1683148419	7.45157224737,9.59971203705,14.9487157156	14.6837200101,17.2262764754,40.0900035145	10.9107206277,9.00401919403,24.0852601783	7.22405582784,11.5062416448,19.2697025273	7.74827224375,11.286052713,21.9656750432	13.0718576591,13.242893524,27.6852488168	8.51853646803,17.1751532938,25.3063102382	11.4465328486,18.1065323441,24.4469348073	12.3756912253,7.81772711316,36.8065816615	0.732911475163,0.523333956259,6.74375456858	5.15846485151,6.12856585118,38.7129692973	0.0,2.9702970297,0.029702970297	0.990099009901,0.0,3.0099009901	0.0,1.44463189675e-10,3.99999999986	0.0,4.96039596489,2.03960403511	4.92163936813,3.11625291242,15.9621077195	4.17785825425,2.84899381089,14.9731479349	6.20937271207,4.29055979617,24.5000674918	11.8718483919,1.58828043614,46.539871172	4.25656662798,2.21353865755,20.5298947145	7.46772397236,6.56731408715,30.9649619405	5.83848422114,2.84907440848,25.3124413704	6.61699229334,1.67809058238,49.7049171243	7.36450351672,2.58731874358,29.0481777397	3.15629489769,3.23043467098,21.6132704313	0.0700244428095,0.0749540448794,9.85502151231	0.0,4.96039602253,1.03960397747	0.0215825996158,0.00400185011006,7.97441555027	1.75207071074e-16,9.82117613022,11.1788238698	0.0,13.8047009963,1.19529900367
coding.BRD7	0.0,1.99009693587,0.00990306413304	0.0,0.0858867504045,1.9141132496	0,0,1	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	1.81064140388,1.06994640662,0.119412189498	0,0,1	0.0,3.06608337402,1.93391662598	0.0,0.0,2.0	0.0,0.0,2.0	1.9801980198,0.110568422114,1.90923355808	na	1.9801980198,0.0,0.019801980198	0.0,0.0,2.0	0.990099009901,0.0,1.0099009901	0.990099009901,0.0378011917486,1.97209979835	0.0,0.990099009901,1.0099009901	0.0,0.297546129935,1.70245387006	0.12714164326,0.0,1.87285835674	0.0,0.990099009901,2.0099009901	0.0,0.0,2.0	2.17252927661,0.848794204336,11.9786765191	0.0,0.32645488045,1.67354511955	0.110536087197,0.297546129935,1.59191778287	2.09352189331,1.94319742217,1.96328068452	1.73562597431,2.04561862837,2.21875539731	5.97744920328,6.41829396889,6.60425682783	2.26815215459,3.69294903578,3.03889880963	2.54638610103,1.74248886379,5.71112503518	2.46641689391,2.58525637031,3.94832673578	2.00423630507,1.78133056501,3.21443312992	2.77742832377,4.36080302271,2.86176865353	4.73919813782,3.09425305937,3.16654880281	3.31593572483,3.69770469965,8.98635957552	0.00346131958032,0.440851727955,3.55568695246	1.15860150072,0.0,8.84139849928	0,0,1	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.990099009901,2.0099009901	1.11069019441,0.624001010385,8.26530879521	1.10078920431,0.297546129935,7.60166466575	3.09088821421,0.765168790846,10.1439429949	2.97029703057,0.765168790846,11.2645341786	0.990099010765,0.32645488045,3.68344610879	2.09088821421,0.46762266091,12.4414891249	8.63612939841e-10,0.86747733675,4.13252266239	2.07183937597,0.32645488045,8.60170574358	1.10078920431,0.765168790846,10.1340420048	0.110690193545,0.624001010385,7.26530879607	0,0,1	0.0,0.0,2.0	0,0,1	0.0,0.0891188028413,1.91088119716	0.0,1.98461405912,0.0153859408778
coding.AXIN1	0.0654639974436,0.0,2.93453600256	0.0,0.00960170173349,3.99039829827	0.0,0.129547574281,2.87045242572	0.0,0.0,2.0	0,0,1	14.5684870459,0.017583460393,2.4139294937	0.0,2.1987546055,2.8012453945	0.153424839905,0.990099009901,4.85647615019	0.516914930854,1.9801980198,10.5028870493	0.0,1.9801980198,0.019801980198	na	1.9801980198,0.110568422114,1.90923355808	0.0,0.0,3.0	0.990099009901,1.14352384981,2.86637714029	0.0,0.0,2.0	0.0,0.0,2.0	0.0,0.0136881756416,4.98631182436	0,0,1	0.0,0.0,2.0	0,0,1	0.167689488713,0.994963090023,3.83734742126	1.99075278282,2.95311919009,22.0561280271	0.0,0.0,2.0	0.0,4.31989208052e-05,4.99995680108	1.55178553183,4.82726378712,7.62095068105	0.517520141764,7.25389371485,12.2285861434	8.65683681262,8.02302634839,22.320136839	2.70106420511,5.87224481789,13.426690977	2.89951953318,5.41239661832,9.68808384849	1.53802619061,8.32821406948,8.13375973991	0.257750003714,5.44234146294,8.29990853334	2.13692729731,6.79893017105,11.0641425316	1.35808003848,8.78438090462,11.8575390569	5.05774178313,7.4598737422,19.4823844747	0.990099009901,1.15973423678,4.85016675332	3.9603960396,1.6099831912,7.4296207692	0,0,1	0.990099009901,0.0,1.0099009901	0.0,0.0,2.0	0.990099009901,0.990099009901,1.0198019802	0.0461510958226,2.93443897977,19.0194099244	4.99762704289,2.03963230883,33.9627406483	5.96440663267,2.03963230883,33.9959610585	4.99825633806,2.92585630355,24.0758873584	0.0227629428804,0.518951261769,17.4582857954	4.99664614616,4.41397861564,27.5893752382	0.990099020625,3.87597399039,11.133926989	5.9772160181,4.86420286582,30.1585811161	1.03046565147,2.54698412247,22.4225502261	1.01690854203,1.93076856705,13.0523228909	0.0,0.153424839905,2.84657516009	0.990099009901,0.990099009901,3.0198019802	0,0,1	1.9801980198,4.4232907347,3.59651124549	0.0,3.99656037098,3.00343962902
coding.ARID2	0.267652467039,1.78083884445e-10,2.73234753278	0.0,0.0,2.0	0.0,0.483956208379,1.51604379162	1.0586631559,0.0,0.941336844104	0,0,1	7.74428246622,0.688014950569,0.567702583214	0.0,0.0465513799847,1.95344862002	1.33311454744,0.182512918226,5.48437253433	0.990099009901,0.0,2.0099009901	na	0.0,1.9801980198,0.019801980198	0.0,0.0,2.0	0.344160577317,0.438135021424,8.21770440126	0.0,7.45475811463e-09,1.99999999255	0,0,1	0.0,0.0,2.0	0.990099009901,0.999999709268,0.00990128083086	0.0234996812063,0.0,2.97650031879	0.0816719445297,0.999999709268,1.9183283462	0.0,0.990099009901,1.0099009901	0.0,0.0,2.0	1.63010177174,1.37659561818,11.9933026101	0.0,0.0,2.0	0.0,0.0194563320273,1.98054366797	2.30985832125,4.61481220413,6.07532947462	1.91005415654,2.92048868981,7.16945715365	3.71390869058,5.1650211118,11.1210701976	2.2649600888,3.24835425851,6.48668565269	2.29797149486,3.26060779316,4.44142071198	1.36291022049,3.77157087891,5.8655189006	1.27210385727,4.83173348018,9.89616266255	2.92477014886,4.71577535629,7.35945449484	2.36503729427,6.94149362501,6.69346908072	2.01450559778,1.04899022111,11.9365041811	0.0,0.791783587441,4.20821641256	0.0,2.47126247582,7.52873752418	0.0,2.98057898864,0.0194210113608	0,0,1	0.0245810923815,4.55336927037e-06,1.97541435425	0.0,2.98019801969,1.01980198031	0.198406987722,1.874151399,7.92744161328	1.60412822803,1.01943572471,7.37643604726	1.2467086213,3.29292775446,9.46036362424	1.58082295947,0.889328256269,17.5298487843	0.408014727001,2.70860341879,5.88338185421	0.431710802689,1.9614268646,11.6068623327	0.408014727297,1.7588012862,8.8331839865	1.37102018761,1.51696342336,19.112016389	1.42180981229,1.01124281616,8.56694737155	0.431515716514,1.01124281616,7.55724146733	0.0235008383896,0.0,2.97649916161	0.0,1.23823010249,0.761769897509	0.0194985183579,0.0,1.98050148164	1.58524685632,1.99009871917,5.42465442451	0.0,6.96529867431,0.0347013256865
coding.ARID1A	0.0,2.24234269636e-05,2.99997757657	0.0,0.0,6.0	0.0,2.11964658418,2.88035341582	0.990099009901,0.00255969812511,1.00734129197	0.99999999999,0.0,1.00000000001	3.38746637804,1.06739101114,0.545142610824	0.0,0.0,3.0	0.990099009901,0.993545299307,6.01635569079	na	0.990099009901,0.0,2.0099009901	0.516914930854,1.9801980198,10.5028870493	0.0,0.0,2.0	2.972895477,1.09574005518,9.93136446781	0.990099009901,0.0,3.0099009901	0,0,1	0.990099009901,0.0,6.0099009901	0.0,0.990099009901,1.0099009901	0.990099009901,0.354851143676,1.65504984642	0.0,0.0,2.0	0.0171061668623,0.0,2.98289383314	0,0,1	2.33365815839,2.33505158527,17.3312902563	0.0,0.0,2.0	0.990099009901,0.0,3.0099009901	3.37795858123,5.63800107886,5.9840403399	2.43673610301,6.13467850594,5.42858539105	9.0585834107,5.69144818647,14.2499684028	4.55667892773,4.41084449802,9.03247657426	3.6150479638,4.60592138027,4.77903065593	3.19120038953,5.85566966462,8.95312994585	4.04645965649,3.68419471136,8.26934563215	3.26048342854,6.32480219872,6.41471437274	3.89618786905,5.95734766696,7.14646446399	8.22239334416,6.70422873269,15.0733779231	1.0679586019,0.0,3.9320413981	2.9801980198,1.10612358222,18.913678398	0.0,0.999999999998,1.0	0.0,0.0,3.0	0.990099009901,0.0,1.0099009901	0.0,3.97029702969,1.02970297031	1.32705605977,0.0,11.6729439402	3.99423833859,0.990099009901,16.0156626515	4.31303187442,1.34495257537,22.3420155502	3.32437377324,0.35485356547,19.3207726613	1.32706958658,1.33760896307,9.33532145036	5.29046831879,2.23445568332,11.4750759979	2.01549475432,0.982755397597,11.0017498481	2.30305159541,1.45060434407,26.2463440605	1.32706958658,1.33760896307,14.3353214504	3.30726760638,0.0,6.69273239362	0.990099009901,0.0,2.0099009901	0.0,2.33505158527,3.66494841473	0.990099009901,0.0,1.0099009901	0.990228080411,1.979776665,7.02999525459	0.0,0.990099009901,2.0099009901
